id,nombre_tema,artista
215,Cheap Thrills (feat. Sean Paul),Sia
216,L-O-V-E,Nat King Cole
217,Femme libérée,Cookie Dingler
218,Buy Me A Boat,Chris Janson
219,Celebration,Kool And The Gang
220,Under The Boardwalk,The Drifters
221,Kryptonite,3 Doors Down
222,Take Me To Church,Hozier
223,Love Me Like You Do,Ellie Goulding
224,Hulapalu,Andreas Gabalier
225,La Bamba,Los Lobos
226,Manhattan-Kaboul,Renaud
227,Unlove You,Jennifer Nettles
228,I Love This Bar,Toby Keith
229,Strawberry Wine,Deana Carter
230,Blank Space,Taylor Swift
231,Happy Birthday,Happy Birthday Songs
232,Walkin' After Midnight,Patsy Cline
233,Allumer le feu,Johnny Hallyday
234,Don't Be Cruel,Elvis Presley
235,Flashlight,Jessie J
236,Wrecking Ball,Miley Cyrus
237,Never Gonna Give You Up,Postmodern Jukebox
238,L'aventurier,Indochine
239,Amarillo By Morning,George Strait
240,Don't Stop Me Now,Queen
241,Hit The Road Jack,Ray Charles
242,(Everything I Do) I Do It For You,Bryan Adams
243,Valerie ('68 version),Amy Winehouse
244,Neon Moon,Brooks & Dunn
245,Sex On Fire,Kings of Leon
246,Maman,Louane
247,Twist And Shout,The Beatles
248,L'envie d'aimer,Les Dix Commandements
249,Eye Of The Tiger,Survivor
250,Proud Mary,Creedence Clearwater Revival
251,L'hymne à l'amour,Edith Piaf
252,Gunpowder & Lead,Miranda Lambert
253,Hopelessly Devoted To You,Grease
254,I See Fire,Ed Sheeran
255,Fever,Peggy Lee
256,Santeria,Sublime
257,Rehab,Amy Winehouse
258,Call Me Maybe,Carly Rae Jepsen
259,Je veux,Zaz
260,Under The Bridge,Red Hot Chili Peppers
261,Bella,Maître Gims
262,Radioactive,Imagine Dragons
263,S.O.B.,Nathaniel Rateliff & The Night Sweats
264,The Gambler,Kenny Rogers
265,Chasing Cars,Snow Patrol
266,J't'emmène au vent,Louise Attaque
267,You Know I'm No Good,Amy Winehouse
268,Come,Jain
269,The Dance,Garth Brooks
270,Faded,Alan Walker
271,Ca c'est vraiment toi,Téléphone
272,Part Of Your World,Little Mermaid
273,Somewhere Over The Rainbow,Judy Garland
274,Ham kummst,Seiler Und Speer
275,Simple Man,Lynyrd Skynyrd
276,Budapest,George Ezra
277,Space Oddity,David Bowie
278,Angel,Sarah McLachlan
279,Halo,Beyoncé
280,Careless Whisper,George Michael
281,Geiles Leben,Glasperlenspiel
282,Somebody To Love,Queen
283,Strangers In The Night,Frank Sinatra
284,In Spite of Ourselves,John Prine
285,Here Comes The Sun,The Beatles
286,Africa,Toto
287,"Quando, Quando, Quando",Michael Bublé
288,Emmenez-moi,Charles Aznavour
289,Hallelujah,Jeff Buckley
290,It's My Life,Bon Jovi
291,I'm Gonna Be (500 Miles),The Proclaimers
292,Only You (And You Alone),The Platters
293,The Way You Look Tonight,Frank Sinatra
294,Watch Me (Whip / Nae Nae),Silentó
295,Treasure,Bruno Mars
296,Hold Back The River,James Bay
297,Faithfully,Journey
298,Son Of A Preacher Man,Dusty Springfield
299,Warum hast du nicht nein gesagt,Roland Kaiser
300,La vie en rose,Edith Piaf
301,Toujours debout,Renaud
302,You Never Even Called Me By My Name,David Allan Coe
303,I Want To Break Free,Queen
304,Don't Close Your Eyes,Keith Whitley
305,Jailhouse Rock,Elvis Presley
306,Whiskey Lullaby,Brad Paisley
307,Lemon Tree,Fool's Garden
308,Three Little Birds,Bob Marley
309,Mon mec à moi,Patricia Kaas
310,Chicken Fried,Zac Brown Band
311,That's Amore,Dean Martin
312,Sandcastles,Beyoncé
313,Blue Suede Shoes,Elvis Presley
314,It's Not Unusual,Tom Jones
315,Hit Me With Your Best Shot,Pat Benatar
316,Need You Now,Lady Antebellum
317,Quand la musique est bonne,Jean-Jacques Goldman
318,Play That Funky Music,Wild Cherry
319,Respect,Aretha Franklin
320,Let Her Go,Passenger
321,Footloose,Kenny Loggins
322,Jolene,Miley Cyrus
323,The Wonder Of You,Elvis Presley
324,Come Together,The Beatles
325,Nuit de folie,Début de soirée
326,Color Gitano,Kendji Girac
327,Twinkle Twinkle Little Star,Nursery Rhyme
328,Don't Go Breaking My Heart,Elton John
329,Marry You,Bruno Mars
330,It's Now Or Never,Elvis Presley
331,That's Life,Frank Sinatra
332,We Will Rock You,Queen
333,La bohème,Charles Aznavour
334,Black Horse And The Cherry Tree,KT Tunstall
335,What Do You Mean?,Justin Bieber
336,I Don't Want To Miss A Thing,Aerosmith
337,Achy Breaky Heart,Billy Ray Cyrus
338,You Are So Beautiful,Joe Cocker
339,Jar Of Hearts,Christina Perri
340,Counting Stars,OneRepublic
341,"Oh, Pretty Woman",Roy Orbison
342,99 Luftballons,Nena
343,I Have Nothing,Whitney Houston
344,Titanium (Acoustic),David Guetta
345,Just The Way You Are,Billy Joel
346,Cendrillon,Téléphone
347,Endless Love,Diana Ross
348,Ain't Your Mama,Jennifer Lopez
349,All Night Long,Lionel Richie
350,Over The Rainbow / What A Wonderful World,Israel Kamakawiwo'ole
351,C'est la vie,Collectif Métissé
352,Sway,Michael Bublé
353,One And Only,Adele
354,Ain't No Mountain High Enough,Marvin Gaye
355,Parler à mon père,Céline Dion
356,Et si tu n'existais pas,Joe Dassin
357,King Of The Road,Roger Miller
358,Pillowtalk,Zayn
359,Family Tradition,"Hank Williams, Jr."
360,In The Ghetto,Elvis Presley
361,Let's Stay Together,Al Green
362,With Arms Wide Open,Creed
363,Locked Out Of Heaven,Bruno Mars
364,Couleur café,Chico & The Gypsies
365,See You Again,Wiz Khalifa
366,Your Man,Josh Turner
367,Dream A Little Dream Of Me,The Mamas And The Papas
368,Unchain My Heart,Joe Cocker
369,Redneck Woman,Gretchen Wilson
370,"No Woman, No Cry",Bob Marley
371,Cette année-là,Claude François
372,The Show Must Go On,Queen
373,Shoop,Salt' N' Pepa
374,Boot Scootin' Boogie,Brooks & Dunn
375,Old Time Rock & Roll,Bob Seger
376,Le chanteur,Daniel Balavoine
377,"Non, je ne regrette rien",Edith Piaf
378,Wake Me Up!,Avicii
379,Mack The Knife,Bobby Darin
380,Hallelujah,Rufus Wainwright
381,Green Green Grass Of Home,Tom Jones
382,You've Lost That Loving Feeling,The Righteous Brothers
383,Killing Me Softly With His Song,Roberta Flack
384,Mercy,Duffy
385,We Are The Champions,Queen
386,I'm A Believer,The Monkees
387,I Gotta Feeling,Black Eyed Peas
388,Un autre monde,Téléphone
389,I Took A Pill In Ibiza,Mike Posner
390,Ce rêve bleu,Aladdin
391,We Are The World,USA For Africa
392,Can't Take My Eyes Off Of You,Frankie Valli
393,Royals,Lorde
394,Grandpa (Tell Me 'Bout The Good Old Days),The Judds
395,American Pie,Don McLean
396,9 To 5,Dolly Parton
397,...Baby One More Time,Britney Spears
398,Think Of You,Chris Young
399,I Won't Give Up,Jason Mraz
400,Love on the Brain,Rihanna
